instance_id,answer_pred_bespoke,answer_pred_str_bespoke,id,answer_pred_qwen,answer_pred_str_qwen,image_file,figure_id,caption,figure_type,compound,figs_numb,qa_pair_type,question,answer_options,venue,categories,source_dataset,paper_id,pdf_url
55763b7826096e95a31d9c30a704d74f,yes,yes,55763b7826096e95a31d9c30a704d74f,no,no,1201.5484v2-figure7-1.png,1201.5484v2-figure7-1,fig. 7. average number of discussions (threads) initiated by websites (squares) and users (circles) that have received a specific average emotional response. all threads with a threshold ncomments ≥ 8.,line chart,False,1,closed-ended finite answer set binary non-visual,do websites and users start at the same number of threads for a given average emotional response?,,arxiv,['physics.soc-ph cs.cl cs.si physics.data-an'],scigraphqa,1201.5484,https://arxiv.org/pdf/1201.5484v2
2a0769147b2417fdadaa382353f00777,yes,yes,2a0769147b2417fdadaa382353f00777,no,no,1507.02140v1-figure2-1.png,1507.02140v1-figure2-1,figure 2. impact of the threshold on the classification results,line chart,True,3,closed-ended finite answer set binary non-visual,does the f-measure consistently decrease as the threshold increases?,,arxiv,['cs.dl cs.cl cs.ir'],scigraphqa,1507.02140,https://arxiv.org/pdf/1507.02140v1
4e8ea981f3882f24886b0a9eddae4efa,no,no,4e8ea981f3882f24886b0a9eddae4efa,yes,yes,1912.07421v1-figure2-1.png,1912.07421v1-figure2-1,fig. 2. accuracies and losses of cnn submodels,line chart,True,4,closed-ended finite answer set binary non-visual,does the validation accuracy of all models reach a value of 1?,,arxiv,['cs.cl cs.ai cs.cy'],scigraphqa,1912.07421,https://arxiv.org/pdf/1912.07421v1
626b75a1410ec363ae04ebc13e83e2ca,yes,yes,626b75a1410ec363ae04ebc13e83e2ca,no,no,1802.03116v1-figure4-1.png,1802.03116v1-figure4-1,figure 4: comparison with oracle that uses direct source-target parallel or comparable corpora. the joint model corresponds to horizontal lines.,line chart,True,2,closed-ended finite answer set binary non-visual,is the performance of the joint model consistently better than oracle across different numbers of training pairs?,,arxiv,['cs.cl'],scigraphqa,1802.03116,https://arxiv.org/pdf/1802.03116v1
70ba93cd1c1ef4d76978821ebf054582,yes,yes,70ba93cd1c1ef4d76978821ebf054582,no,no,1709.00659v2-figure2-1.png,1709.00659v2-figure2-1,figure 2: visualization of hidden representation of a loc entity word “rangoon” and weight parameters corresponding to true and false tags.,line chart,False,1,closed-ended finite answer set binary non-visual,do the weights corresponding to the true tag (i-loc) have a higher normalized value than the weights corresponding to the false tag (i-misc) at any point along the hidden layer dimension?,,arxiv,['cs.cl'],scigraphqa,1709.00659,https://arxiv.org/pdf/1709.00659v2
69ffc6c06388679ba8fdf8950186ffb7,yes,yes,69ffc6c06388679ba8fdf8950186ffb7,no,no,1709.09373v1-figure6-1.png,1709.09373v1-figure6-1,figure 6: mi and si - 25 topics 10 years window size,line chart,True,2,closed-ended finite answer set binary non-visual,does the 'merging index' trend upward during the time period 1900-1950?,,arxiv,['cs.cl econ.gn q-fin.ec'],scigraphqa,1709.09373,https://arxiv.org/pdf/1709.09373v1
b853793729db0974f5a3d2e88ce4a1cf,no,no,b853793729db0974f5a3d2e88ce4a1cf,yes,yes,2020.acl-main.6.pdf-figure2.png,2020.acl-main.6.pdf-figure2,figure 2: bleu improvements on wizard-of-wikipedia.,line chart,False,1,closed-ended finite answer set binary non-visual,does the relative test improvement for seen data consistently increase as the bleu value increases?,,acl,nan,aclfig,2020.acl-main.6,https://aclanthology.org/2020.acl-main.6.pdf
d164feb2635a190ca61c092ace71c140,"no
9","no
9",d164feb2635a190ca61c092ace71c140,no,no,1103.2950v1-figure6-1.png,1103.2950v1-figure6-1,"figure 6: fitting errors (residual, deviance), y(r) − f(r), of the ten functions used in fig.4 for mexican presidents’ speech to congress.",line chart,True,9,closed-ended finite answer set binary non-visual,are there 7 subplots presented in the figure?,,arxiv,['cs.cl'],scigraphqa,1103.2950,https://arxiv.org/pdf/1103.2950v1
711f3a815b131e5915d92fbf4b72b032,yes,yes,711f3a815b131e5915d92fbf4b72b032,no,no,2004.06188v4-figure5-1.png,2004.06188v4-figure5-1,"figure 5: mean anger, fear, sadness, and joy by grade and gender, as well as model-implied trends.",line chart,True,4,closed-ended finite answer set binary non-visual,does the mean anger level for males consistently increase as grade increases?,,arxiv,['cs.cl'],scigraphqa,2004.06188,https://arxiv.org/pdf/2004.06188v4
15d3774c3a9236f94cf3d77c02f489b6,yes,yes,15d3774c3a9236f94cf3d77c02f489b6,no,no,1306.1927v1-figure4-1.png,1306.1927v1-figure4-1,fig. 4. total meeting time and wrap-up time,line chart,True,2,closed-ended finite answer set binary non-visual,is the total meeting time always longer than the time decisions are made?,,arxiv,['stat.ap cs.cl'],scigraphqa,1306.1927,https://arxiv.org/pdf/1306.1927v1
0384ba4579fd751d34307fcf82745b64,yes,yes,0384ba4579fd751d34307fcf82745b64,no,no,1810.06645v1-figure1-1.png,1810.06645v1-figure1-1,fig. 1. sentiment polarity probability difference between male and female.,line chart,False,1,closed-ended finite answer set binary non-visual,is the sentiment polarity positive when it is 1?,,arxiv,['cs.cl cs.ai'],scigraphqa,1810.06645,https://arxiv.org/pdf/1810.06645v1
a5c5086898190dc31e3d804a022aa5de,yes,yes,a5c5086898190dc31e3d804a022aa5de,no,no,1612.08083v3-figure3-1.png,1612.08083v3-figure3-1,figure 3. learning curves on wikitext-103 (left) and google billion word (right) for models with different activation mechanisms. models with gated linear units (glu) converge faster and to a lower perplexity.,line chart,True,2,closed-ended finite answer set binary non-visual,are tahn and relu presented in the figure?,,arxiv,['cs.cl'],scigraphqa,1612.08083,https://arxiv.org/pdf/1612.08083v3
baaea709706e3cfb7482bcb2e976872f,yes,yes,baaea709706e3cfb7482bcb2e976872f,no,no,1811.02549v6-figure6-1.png,1811.02549v6-figure6-1,"figure 6: analysis of decoding methods. (lower is better for all metrics). left: less biased methods provided a better quality/diversity trade-off. right: however, they are computationally much more expensive.",line chart,True,2,closed-ended finite answer set binary non-visual,"in plot (b), is the range of lm score between 1 and 2?",,arxiv,['cs.cl cs.lg'],scigraphqa,1811.02549,https://arxiv.org/pdf/1811.02549v6
531f3dccc3d10ad3724181b9efd7b0e7,yes,yes,531f3dccc3d10ad3724181b9efd7b0e7,no,no,2005.00048v1-figure4-1.png,2005.00048v1-figure4-1,figure 4: training & validation performance,line chart,False,1,closed-ended finite answer set binary non-visual,is the loss value of the validation loss (domain) 12 at 40 epochs?,,arxiv,['cs.cl cs.lg'],scigraphqa,2005.00048,https://arxiv.org/pdf/2005.00048v1
79eb3d42fcf026c0d1b34572a4d134dc,no,no,79eb3d42fcf026c0d1b34572a4d134dc,yes,yes,1702.06216v2-figure1-1.png,1702.06216v2-figure1-1,"fig. 1. training curves, stopping points, and mean stopping point for the random models",line chart,False,1,closed-ended finite answer set binary non-visual,is the training data size at the mean stopping point above 60%?,,arxiv,['cs.cl cs.ir cs.lg stat.ml'],scigraphqa,1702.06216,https://arxiv.org/pdf/1702.06216v2
d6fb84f54c8c9f9be1b44dac10c2484a,yes,yes,d6fb84f54c8c9f9be1b44dac10c2484a,no,no,1805.00462v1-figure3-1.png,1805.00462v1-figure3-1,figure 3: evolution of reward during training for the word-level task without image variations.,line chart,False,1,closed-ended finite answer set binary non-visual,is the reward for the proposed method higher than the reward for the imitation+gaussian-rl method after 6 games?,,arxiv,['cs.cl cs.ai'],scigraphqa,1805.00462,https://arxiv.org/pdf/1805.00462v1
fe550c3b18fadde715e80f172dacd787,yes,yes,fe550c3b18fadde715e80f172dacd787,no,no,2009.13826v1-figure6-1.png,2009.13826v1-figure6-1,figure 6: blogcatalog classify result1,line chart,True,2,closed-ended finite answer set binary non-visual,does the embedded classifier consistently outperform the normal classifier in the micro f1 score?,,arxiv,['cs.lg cs.cl stat.ml'],scigraphqa,2009.13826,https://arxiv.org/pdf/2009.13826v1
b662e9f7a91aff562b1708b0885cef68,yes,yes,b662e9f7a91aff562b1708b0885cef68,no,no,d13-1004.pdf-figure1.png,d13-1004.pdf-figure1,"figure 1: plate diagram depicting the morphology model (adapted from goldwater et al. (2006)). hyperparameters have been omitted for clarity. the left-hand plate depicts the base distribution p0; note that the morphological analyses lk are generated deterministically as (tk,sk, fk). the observed words wi are also deterministic given zi = k and lk, since wi = sk fk.",graph,False,1,closed-ended finite answer set binary non-visual,are the circles z_i and w_i directly connected?,,acl,nan,aclfig,d13-1004,https://aclanthology.org/d13-1004.pdf
d5df3ed84348d558f63f3dcfbb39e74f,yes,yes,d5df3ed84348d558f63f3dcfbb39e74f,no,no,c08-1126.pdf-figure3.png,c08-1126.pdf-figure3,figure 3: a path through the wordnet.,graph,False,1,closed-ended finite answer set binary non-visual,does the path in the diagram pass through the node labeled 's20'?,,acl,nan,aclfig,c08-1126,https://aclanthology.org/c08-1126.pdf
d761df8ea5d51a7d1b6ab86390be09e3,yes,yes,d761df8ea5d51a7d1b6ab86390be09e3,no,no,1606.03676v2-figure1-1.png,1606.03676v2-figure1-1,figure 1: graphical visualisation of the overall tagging accuracies for all four types of enriched models. detailed results are given in table 4. languages are sorted by increasing melt’s overall tagging scores.,scatter plot,False,1,closed-ended finite answer set binary non-visual,does the 'marmot+lexicon' model consistently have higher tagging accuracy than the 'bi-lstm+polyglot' model?,,arxiv,['cs.cl'],scigraphqa,1606.03676,https://arxiv.org/pdf/1606.03676v2
3b8aa70830cc16193f28320ca50eb9c7,yes,yes,3b8aa70830cc16193f28320ca50eb9c7,no,no,2020.acl-main.47.pdf-figure4.png,2020.acl-main.47.pdf-figure4,figure 4: correlation between the acc-dat rate and the rate that the acc argument is more likely to be topicalized than dat for each verb. each plot corresponds to the result of each verb.,scatter plot,False,1,closed-ended finite answer set binary non-visual,does figure 4 show a correlation between the acc-dat rate and the rate that the acc argument is more likely to be topicalized than dat for each verb?,,acl,nan,aclfig,2020.acl-main.47,https://aclanthology.org/2020.acl-main.47.pdf
7ceb7950d18db07315a4832d09cc0afd,no,no,7ceb7950d18db07315a4832d09cc0afd,yes,yes,n18-1057.pdf-figure1.png,n18-1057.pdf-figure1,"figure 1: overview of method. we first train a noise model on a seed corpus, then apply noise during decoding to synthesize data that is in turn used to train the denoising model.",neural networks,False,1,closed-ended finite answer set binary non-visual,are there 2 models presented on the figure?,,acl,nan,aclfig,n18-1057,https://aclanthology.org/n18-1057.pdf
e75b37b4a7b94ab45ac38afd254dc27d,no,no,e75b37b4a7b94ab45ac38afd254dc27d,yes,yes,y18-1063.pdf-figure6.png,y18-1063.pdf-figure6,figure 6: rule #3 diagram and example,tree,False,1,closed-ended finite answer set binary non-visual,does the diagram represent a rule involving translation?,,acl,nan,aclfig,y18-1063,https://aclanthology.org/y18-1063.pdf
d31834c41114d3933fb8448c14d5f0f9,yes,yes,d31834c41114d3933fb8448c14d5f0f9,no,no,y09-1038.pdf-figure2.png,y09-1038.pdf-figure2,"figure 2: a syntactic parse tree with aapdist and argdist example. there is a simultaenous temporal relation between (move, resign) event pair in this parse tree.",tree,False,1,closed-ended finite answer set binary non-visual,is the sentence in the figure starting with resigned and ending with in?,,acl,nan,aclfig,y09-1038,https://aclanthology.org/y09-1038.pdf
e2213f14f2591201cccd5a78dca8315a,no,no,e2213f14f2591201cccd5a78dca8315a,yes,yes,2020.acl-main.67.pdf-figure2.png,2020.acl-main.67.pdf-figure2,figure 2: neighborhood information in different orders.,graph,False,1,closed-ended finite answer set binary non-visual,is the r^3(x_i) a label in the graph?,,acl,nan,aclfig,2020.acl-main.67,https://aclanthology.org/2020.acl-main.67.pdf
7f65c0519fdbbb0183855741a1a18c62,yes,yes,7f65c0519fdbbb0183855741a1a18c62,no,no,2020.acl-main.93.pdf-figure2.png,2020.acl-main.93.pdf-figure2,"figure 2: this figure explains the differences between an error and different concerns when mismatches occur. we show an image as nine parts grid chart (3  3). in error case, caption1 focuses on three parts while b3 cannot represent the part that matches a1. in different-concerns cases, two captions can represent well in different parts of the same image. however, a mismatch occurs since a3 and b3 attend to a different part of the image.",architecture diagram,False,1,closed-ended finite answer set binary non-visual,is the label 'image' present in the error section?,,acl,nan,aclfig,2020.acl-main.93,https://aclanthology.org/2020.acl-main.93.pdf
ba94ad914a0f79937a8ed5b044342643,yes,yes,ba94ad914a0f79937a8ed5b044342643,no,no,2007.sigdial-1.12.pdf-figure7.png,2007.sigdial-1.12.pdf-figure7,figure 7. roc area for n*-best and other n-best methods (n* is represented as n=0),bar chart,False,1,closed-ended finite answer set binary non-visual,is the range of area in y-axis -0.08 to 0?,,acl,nan,aclfig,2007.sigdial-1.12,https://aclanthology.org/2007.sigdial-1.12.pdf
8b4129d0ce5fe0cdd7ffd9d953374b96,yes,yes,8b4129d0ce5fe0cdd7ffd9d953374b96,no,no,2020.acl-main.94.pdf-figure5.png,2020.acl-main.94.pdf-figure5,figure 5: bli performance for each pos in the different domain setting.,line chart,True,4,closed-ended finite answer set binary non-visual,is the bli performance for verb lower than that of noun for 'fr' at a window size of 20?,,acl,nan,aclfig,2020.acl-main.94,https://aclanthology.org/2020.acl-main.94.pdf
a4d3d04322fa15ae8bc3e58a73b4edcd,yes,yes,a4d3d04322fa15ae8bc3e58a73b4edcd,no,no,1907.00820v1-figure3-1.png,1907.00820v1-figure3-1,figure 3: averaged visualization about (a and c) controller gate and (b and d) read-write policy for tann and sann on mirror task. note that all the plots are derived from being averaging over 500 random samples. the x-axis shows each time step represented by input xi or output yi. the 〈eos〉 represent the input delimiter.,line chart,True,4,closed-ended finite answer set binary non-visual,does 'in_r' always have a higher saturated percentage compared to others in plot 'c'?,,arxiv,['cs.lg cs.cl cs.ne'],scigraphqa,1907.00820,https://arxiv.org/pdf/1907.00820v1
514443c443afb8a395e2ddb1a60fa26e,yes,yes,514443c443afb8a395e2ddb1a60fa26e,no,no,1711.05294v1-figure2-1.png,1711.05294v1-figure2-1,figure 2: results for the relation extraction from the nyt corpus: comparison with state-of-the-art neural network models.,line chart,False,1,closed-ended finite answer set binary non-visual,is the precision of the cnn+att model consistently higher than that of the pcnn+att model?,,arxiv,['cs.cl'],scigraphqa,1711.05294,https://arxiv.org/pdf/1711.05294v1
7577a9205f12d5c451d1da9643b6efa5,yes,yes,7577a9205f12d5c451d1da9643b6efa5,no,no,1605.04569v2-figure1-1.png,1605.04569v2-figure1-1,figure 1: performance with nplm over beam size on english-german news-test2015. a beam of 12 corresponds to row 15 in tab. 3.,line chart,False,1,closed-ended finite answer set binary non-visual,does the bleu score plateau at a beam size of 10?,,arxiv,['cs.cl'],scigraphqa,1605.04569,https://arxiv.org/pdf/1605.04569v2
9f2dd2c1443b8143916fa08668401b2f,yes,yes,9f2dd2c1443b8143916fa08668401b2f,no,no,2015.lilt-12.2.pdf-figure4.png,2015.lilt-12.2.pdf-figure4,figure 4 graph of stylistic change for tiresias,line chart,False,1,closed-ended finite answer set binary non-visual,is the stylistic change for tiresias in 'abstract' higher than 'colloquial' at the value of 5?,,acl,nan,aclfig,2015.lilt-12.2,https://aclanthology.org/2015.lilt-12.2.pdf
f0d7a9d835225baf110e1fb69d61dd51,no,no,f0d7a9d835225baf110e1fb69d61dd51,yes,yes,1401.5390v1-figure12-1.png,1401.5390v1-figure12-1,"figure 12: win rate as a function of computation time per game step. for each montecarlo search method, win rate and computation time were measured for 100, 200 and 500 roll-outs per game step, respectively.",line chart,False,1,closed-ended finite answer set binary non-visual,is the computation time for 'game only' with 500 roll-outs higher than that of the 'latent variable' method with 200 roll-outs?,,arxiv,['cs.cl cs.ai cs.lg'],scigraphqa,1401.5390,https://arxiv.org/pdf/1401.5390v1
