instance_id,answer_pred_bespoke,answer_pred_str_bespoke,id,answer_pred_qwen,answer_pred_str_qwen,image_file,figure_id,caption,figure_type,compound,figs_numb,qa_pair_type,question,answer_options,venue,categories,source_dataset,paper_id,pdf_url
fb9ae6b3886c08f35bf9db2c06fd0a57,yes,yes,fb9ae6b3886c08f35bf9db2c06fd0a57,no,no,1708.01425v4-figure3-1.png,1708.01425v4-figure3-1,"figure 3: cohen’s κ agreement for stance annotation on 98 comments. as a trade-off between reducing costs (i.e., discarding fewer instances) and increasing reliability, we chose 5 annotators and a threshold of 0.95 for this task, which resulted in κ = 0.58 (moderate to substantial agreement).",line chart,False,1,closed-ended finite answer set binary visual,does the black dashed line with circles represents mace threshold of 1?,,arxiv,['cs.cl cs.ai'],scigraphqa,1708.01425,https://arxiv.org/pdf/1708.01425v4
8ce379fa6d15ed95d18e892bdd6d0977,yes,yes,8ce379fa6d15ed95d18e892bdd6d0977,no,no,1201.5484v2-figure7-1.png,1201.5484v2-figure7-1,fig. 7. average number of discussions (threads) initiated by websites (squares) and users (circles) that have received a specific average emotional response. all threads with a threshold ncomments ≥ 8.,line chart,False,1,closed-ended finite answer set binary visual,is there a blue and green line in the figure?,,arxiv,['physics.soc-ph cs.cl cs.si physics.data-an'],scigraphqa,1201.5484,https://arxiv.org/pdf/1201.5484v2
3965c230b4b6ec2079eb166497fbefdd,no,no,3965c230b4b6ec2079eb166497fbefdd,yes,yes,1507.02140v1-figure2-1.png,1507.02140v1-figure2-1,figure 2. impact of the threshold on the classification results,line chart,True,3,closed-ended finite answer set binary visual,"in all subplots, is the value of the red square higher than 0.6 when the threshold is 0.6?",,arxiv,['cs.dl cs.cl cs.ir'],scigraphqa,1507.02140,https://arxiv.org/pdf/1507.02140v1
b4c02dc7a824c137b52178f11fd5f148,yes,yes,b4c02dc7a824c137b52178f11fd5f148,no,no,2020.acl-main.36.pdf-figure1.png,2020.acl-main.36.pdf-figure1,"figure 1: (a) the convergence speed of the encoder and the decoder. (b) the performance when adding noise to the encoder input, encoder output and decoder input in the inference stage of a basic nat model.",line chart,True,2,closed-ended finite answer set binary visual,"in the bottom subplot,  is the red line always lower than the green dashed line across all shown noise ratios?",,acl,nan,aclfig,2020.acl-main.36,https://aclanthology.org/2020.acl-main.36.pdf
0c7f00deb5ae88c1ca77aa162d85329d,no,no,0c7f00deb5ae88c1ca77aa162d85329d,yes,yes,2001.01863v7-figure24-1.png,2001.01863v7-figure24-1,figure 24. training time comparison across the ml algorithms and the feature selection methods.,line chart,True,5,closed-ended finite answer set binary visual,is the purple line higher than the red line for at the point where the number of selected features is 40 in the 'bagging' chart?,,arxiv,['cs.cl'],scigraphqa,2001.01863,https://arxiv.org/pdf/2001.01863v7
4fd5dcf5a5e996e13a2b2f65e1b9daae,yes,yes,4fd5dcf5a5e996e13a2b2f65e1b9daae,no,no,2020.acl-main.31.pdf-figure2.png,2020.acl-main.31.pdf-figure2,"figure 2: test performance and gain with different percent of training data ranging from 0.005 to 1 on mr. the less data in training, the more new words in test.",line chart,False,1,closed-ended finite answer set binary visual,does the accuracy of the blue line with crosses is always higher than the accuracy of blue line with squares across all training percentages shown in the graph?,,acl,nan,aclfig,2020.acl-main.31,https://aclanthology.org/2020.acl-main.31.pdf
384585324ff757887359c6b33ec65dae,yes,yes,384585324ff757887359c6b33ec65dae,no,no,1909.06694v1-figure2-1.png,1909.06694v1-figure2-1,figure 2: validation loss comparison for simile and bleu. the top plot shows the expected bleu cost when training with bleu and simile. the bottom plot shows the expected simile cost when training with bleu and simile.,line chart,True,2,closed-ended finite answer set binary visual,is the blue line lower than the red line at epoch 6 in the bottom plot?,,arxiv,['cs.cl'],scigraphqa,1909.06694,https://arxiv.org/pdf/1909.06694v1
a7f4d3db035619588df6dcc63e5d2675,yes,yes,a7f4d3db035619588df6dcc63e5d2675,e,e,1103.2950v1-figure6-1.png,1103.2950v1-figure6-1,"figure 6: fitting errors (residual, deviance), y(r) − f(r), of the ten functions used in fig.4 for mexican presidents’ speech to congress.",line chart,True,9,closed-ended finite answer set binary visual,"in the leftmost bottom plot, is the label of the second black dot from left to right e? ",,arxiv,['cs.cl'],scigraphqa,1103.2950,https://arxiv.org/pdf/1103.2950v1
35d1f7660a8442f2113f2d81c88f47e0,yes,yes,35d1f7660a8442f2113f2d81c88f47e0,no,no,2001.04619v1-figure7-1.png,2001.04619v1-figure7-1,"fig. 7. character error rate (cer) as a function of snr, including custom model.",line chart,False,1,closed-ended finite answer set binary visual,is the black line with circles always higher than the black line with triangles?,,arxiv,['eess.as cs.cl cs.sd'],scigraphqa,2001.04619,https://arxiv.org/pdf/2001.04619v1
6dd2c5c82630d5f75c0de4daa54ef5ab,yes,yes,6dd2c5c82630d5f75c0de4daa54ef5ab,no,no,2004.06188v4-figure5-1.png,2004.06188v4-figure5-1,"figure 5: mean anger, fear, sadness, and joy by grade and gender, as well as model-implied trends.",line chart,True,4,closed-ended finite answer set binary visual,"in the top leftmost subplot, is the blue diamond marker at grade 12 positioned above the orange square marker at the same grade?",,arxiv,['cs.cl'],scigraphqa,2004.06188,https://arxiv.org/pdf/2004.06188v4
a2b34645f640bd65571f61862bccce43,yes,yes,a2b34645f640bd65571f61862bccce43,no,no,2010.02069v2-figurec.2-1.png,2010.02069v2-figurec.2-1,figure c.2: progression of the average gdl of the induced grammars (v 27l10) compared to the baseline grammar of one production rule for each message.,line chart,False,1,closed-ended finite answer set binary visual,is the blue line always decreasing?,,arxiv,['cs.cl cs.ai'],scigraphqa,2010.02069,https://arxiv.org/pdf/2010.02069v2
66fc836706d0f7a623004818efe2c189,yes,yes,66fc836706d0f7a623004818efe2c189,no,no,2008.02096v1-figure1-1.png,2008.02096v1-figure1-1,figure 1: rank-specificity distribution of threshold concepts based on lemma (s-specificity) and compounding frequencies (c-specificity).,line chart,False,1,closed-ended finite answer set binary visual,is the green line  higher than the orange line at rank 10?,,arxiv,['cs.cl'],scigraphqa,2008.02096,https://arxiv.org/pdf/2008.02096v1
f9c67031f004888e5abe029dd31e36ef,yes,yes,f9c67031f004888e5abe029dd31e36ef,no,no,1210.8436v1-figure1-1.png,1210.8436v1-figure1-1,"fig. 1. aggregate oov rate as a function of vocabulary size (log-scale), evaluated on a range of test sets collected every tuesday between 2011/10/11-2012/01/03.",line chart,False,1,closed-ended finite answer set binary visual,is the blue line with stars always lower than the red line with crosses?,,arxiv,['cs.cl cs.ir'],scigraphqa,1210.8436,https://arxiv.org/pdf/1210.8436v1
24a04fe18d2f16a5e974e2ba9ef635d8,yes,yes,24a04fe18d2f16a5e974e2ba9ef635d8,no,no,1910.08210v5-figure11-1.png,1910.08210v5-figure11-1,"figure 11: learning curve while transferring to the development environments. win rates of individual runs are shown in light colours. average win rates are shown in bold, dark lines.",line chart,True,3,closed-ended finite answer set binary visual,"in the leftmost plot, does the win rate of the red line remains always higher than that of the blue line in the?",,arxiv,['cs.cl cs.ai cs.lg'],scigraphqa,1910.08210,https://arxiv.org/pdf/1910.08210v5
32259325fda4788f0c953cabd85e6c7e,yes,yes,32259325fda4788f0c953cabd85e6c7e,no,no,1809.05814v1-figure4-1.png,1809.05814v1-figure4-1,figure 4: roc curves of separable cnn (model g),line chart,False,1,closed-ended finite answer set binary visual,does the blue line have a consistently higher value than the orange line?,,arxiv,['cs.cl cs.lg stat.ml'],scigraphqa,1809.05814,https://arxiv.org/pdf/1809.05814v1
8ed5e126fb654f033ba84762017714be,yes,yes,8ed5e126fb654f033ba84762017714be,no,no,1904.13258v1-figure1-1.png,1904.13258v1-figure1-1,fig. 1. the nist stt benchmark test history - may’09 [7],line chart,False,1,closed-ended finite answer set binary visual,is the green line representing 'air travel planning kiosk speech' consistently below the 'range of human error in transcription' line?,,arxiv,['cs.cl cs.sd eess.as'],scigraphqa,1904.13258,https://arxiv.org/pdf/1904.13258v1
07cdd25cfedc23fb99a1a539c2744a38,yes,yes,07cdd25cfedc23fb99a1a539c2744a38,no,no,1701.02901v1-figure2-1.png,1701.02901v1-figure2-1,"figure 2: relative improvement of the best nmt versus the best pbmt submission on chrf1 for different sentence lengths, averaged over all the language pairs considered.",line chart,False,1,closed-ended finite answer set binary visual,does the blue line  show an overall downward trend as the sentence length increases?,,arxiv,['cs.cl'],scigraphqa,1701.02901,https://arxiv.org/pdf/1701.02901v1
