instance_id,answer_pred_bespoke,answer_pred_str_bespoke,id,answer_pred_qwen,answer_pred_str_qwen,image_file,figure_id,caption,figure_type,compound,figs_numb,qa_pair_type,question,answer_options,venue,categories,source_dataset,paper_id,pdf_url
a73335d8352c93f9ac1956c190bd8cbe,"1, 2, 3, 4, 5","1, 2, 3, 4, 5",a73335d8352c93f9ac1956c190bd8cbe,"not humor, 1, 2, 3, 4, 5","not humor, 1, 2, 3, 4, 5",2020.lrec-1.628.pdf-figure2.png,2020.lrec-1.628.pdf-figure2,figure 2: distribution of votes in the final version of the corpus. the numbers 1 to 5 are the different scores the annotators could assign to the humorous tweets.,pie chart,False,1,closed-ended infinite answer set non-visual,what are all the labels for the slices of the pie chart?,,acl,nan,aclfig,2020.lrec-1.628,https://aclanthology.org/2020.lrec-1.628.pdf
99f7e8687723b3f3a8c6d4a2867f935c,workers per expert,workers per expert,99f7e8687723b3f3a8c6d4a2867f935c,"workers per ""expert""","workers per ""expert""",1708.01425v4-figure3-1.png,1708.01425v4-figure3-1,"figure 3: cohen’s κ agreement for stance annotation on 98 comments. as a trade-off between reducing costs (i.e., discarding fewer instances) and increasing reliability, we chose 5 annotators and a threshold of 0.95 for this task, which resulted in κ = 0.58 (moderate to substantial agreement).",line chart,False,1,closed-ended infinite answer set non-visual,what is the macro-label of the x-axis?,,arxiv,['cs.cl cs.ai'],scigraphqa,1708.01425,https://arxiv.org/pdf/1708.01425v4
724c348e5cd3acde6c28a7f725d072db,-1.0 to 1.0,-1.0 to 1.0,724c348e5cd3acde6c28a7f725d072db,"[-1.0, 1.0]","[-1.0, 1.0]",1201.5484v2-figure7-1.png,1201.5484v2-figure7-1,fig. 7. average number of discussions (threads) initiated by websites (squares) and users (circles) that have received a specific average emotional response. all threads with a threshold ncomments ≥ 8.,line chart,False,1,closed-ended infinite answer set non-visual,what is the range of the average emotional response?,,arxiv,['physics.soc-ph cs.cl cs.si physics.data-an'],scigraphqa,1201.5484,https://arxiv.org/pdf/1201.5484v2
debd0c30b110da746611d682795742df,24,24,debd0c30b110da746611d682795742df,23.5,23.5,2020.acl-main.36.pdf-figure1.png,2020.acl-main.36.pdf-figure1,"figure 1: (a) the convergence speed of the encoder and the decoder. (b) the performance when adding noise to the encoder input, encoder output and decoder input in the inference stage of a basic nat model.",line chart,True,2,closed-ended infinite answer set non-visual,"in subplot (a), what is the bleu score for the decoder at 2m steps?",,acl,nan,aclfig,2020.acl-main.36,https://aclanthology.org/2020.acl-main.36.pdf
93c7ddf0b89769104858abd6b24839e6,57.45%,57.45%,93c7ddf0b89769104858abd6b24839e6,0.57,0.57,1904.05542v1-figure5-1.png,1904.05542v1-figure5-1,"figure 5: nearest neighbor translation accuracy as a function of (log) parallel corpus size. (sent) to sentence-level mapping, and (dict) refers to the baseline (using a static dictionary for mapping). the legend shows the average accuracies of each model using 1m parallel sentences.",line chart,True,6,closed-ended infinite answer set non-visual,what is the accuracy of the fasttext(dict) model in the de-->es plot with all parallel sentences?,,arxiv,['cs.cl'],scigraphqa,1904.05542,https://arxiv.org/pdf/1904.05542v1
166763d548cb4de537a42d0b6772f6eb,10,10,166763d548cb4de537a42d0b6772f6eb,14,14,1609.07033v1-figure5-1.png,1609.07033v1-figure5-1,figure 5: comparison of performance obtained by text segmentation algorithms: bayesian segmentation (bayesseg) and lcseg. “default” setting does not require the number of segments to be explicitly stated when computing segment boundaries using lcseg.,line chart,False,1,closed-ended infinite answer set non-visual,what is the number of segments for 'bayesseg' with an average f-measure of 0.73?,,arxiv,['cs.cl'],scigraphqa,1609.07033,https://arxiv.org/pdf/1609.07033v1
3cb278da87db98fabb80b787795f157c,cross-entropy loss,cross-entropy loss,3cb278da87db98fabb80b787795f157c,loss,loss,1912.07421v1-figure2-1.png,1912.07421v1-figure2-1,fig. 2. accuracies and losses of cnn submodels,line chart,True,4,closed-ended infinite answer set non-visual,what is the type of loss measured in the plots?,,arxiv,['cs.cl cs.ai cs.cy'],scigraphqa,1912.07421,https://arxiv.org/pdf/1912.07421v1
0424ecfcd61a9a6c7aa7299249bbcdf0,german and english,german and english,0424ecfcd61a9a6c7aa7299249bbcdf0,german (de) and english (en),german (de) and english (en),1802.03116v1-figure4-1.png,1802.03116v1-figure4-1,figure 4: comparison with oracle that uses direct source-target parallel or comparable corpora. the joint model corresponds to horizontal lines.,line chart,True,2,closed-ended infinite answer set non-visual,which languages are presented in the plot?,,arxiv,['cs.cl'],scigraphqa,1802.03116,https://arxiv.org/pdf/1802.03116v1
3d687574fd3fae78a9c33d5f54d5f98b,33,33,3d687574fd3fae78a9c33d5f54d5f98b,35,35,1909.12375v1-figure1-1.png,1909.12375v1-figure1-1,"figure 1: test performance (accuracy) in the fget task for different segmentation methods in data scarcity simulation experiments across 4 languages representing 4 broad morphological types, averaged over 5 runs. some data points with chinese (zh) are not shown as in those cases the subword model is reduced to single characters only.",line chart,True,12,closed-ended infinite answer set non-visual,"in the tr subplot with fget training size=2000, what is the we value of the 'bpe1e3' at 35?",,arxiv,['cs.cl'],scigraphqa,1909.12375,https://arxiv.org/pdf/1909.12375v1
0d49d0582f80632c85c7aaa0ef5adf7d,30,30,0d49d0582f80632c85c7aaa0ef5adf7d,30%,30%,1801.04354v5-figure8-1.png,1801.04354v5-figure8-1,figure 8: comparing different token transformer strategies: each curve represents the result of attacking the model with one transformer functions. xaxis: maximum edit distance difference y-axis: model accuracy,line chart,False,1,closed-ended infinite answer set non-visual,what is the model's accuracy when using the 'swapping' strategy with an edit distance of 30?,,arxiv,['cs.cl cs.cr cs.ir cs.lg'],scigraphqa,1801.04354,https://arxiv.org/pdf/1801.04354v5
