instance_id,answer_pred_bespoke,answer_pred_str_bespoke,id,answer_pred_qwen,answer_pred_str_qwen,image_file,figure_id,caption,figure_type,compound,figs_numb,qa_pair_type,question,answer_options,venue,categories,source_dataset,paper_id,pdf_url
37262522fc9ab6ad4e8c85f728455c54,"a,d","a,d",37262522fc9ab6ad4e8c85f728455c54,d,d,1702.01829v2-figure4-1.png,1702.01829v2-figure4-1,"figure 4: varying the amount of training data for the discourse parser, we can see how parsing f1 performance affects accuracy on the yelp review task.",line chart,False,1,closed-ended finite answer set non-binary visual,how many triangles are presented in the line and what is their color?,,arxiv,['cs.cl cs.lg'],scigraphqa,1702.01829,https://arxiv.org/pdf/1702.01829v2
7ecac9c46c0b62aa4e4ba93506998bef,d,d,7ecac9c46c0b62aa4e4ba93506998bef,c,c,1201.5484v2-figure7-1.png,1201.5484v2-figure7-1,fig. 7. average number of discussions (threads) initiated by websites (squares) and users (circles) that have received a specific average emotional response. all threads with a threshold ncomments ≥ 8.,line chart,False,1,closed-ended finite answer set non-binary visual,what is the peak value and the lowest value for the green line?,,arxiv,['physics.soc-ph cs.cl cs.si physics.data-an'],scigraphqa,1201.5484,https://arxiv.org/pdf/1201.5484v2
9625ad38d206d1dbdabd71219ae6c226,c,c,9625ad38d206d1dbdabd71219ae6c226,"a,b,c","a,b,c",1711.03736v1-figure3-1.png,1711.03736v1-figure3-1,figure 3: evaluation of perplexity variation during the training on mr dataset,line chart,True,3,closed-ended finite answer set non-binary visual,which of the graphs show a final perplexity value that is higher for  blue line than red line?,,arxiv,['cs.cl cs.ir cs.lg'],scigraphqa,1711.03736,https://arxiv.org/pdf/1711.03736v1
4889440da40d939a8a905d9e31539797,d,d,4889440da40d939a8a905d9e31539797,c,c,1904.05542v1-figure5-1.png,1904.05542v1-figure5-1,"figure 5: nearest neighbor translation accuracy as a function of (log) parallel corpus size. (sent) to sentence-level mapping, and (dict) refers to the baseline (using a static dictionary for mapping). the legend shows the average accuracies of each model using 1m parallel sentences.",line chart,True,6,closed-ended finite answer set non-binary visual,which line represents the model with the highest accuracy at 1 million parallel sentences in the middle right plot?,,arxiv,['cs.cl'],scigraphqa,1904.05542,https://arxiv.org/pdf/1904.05542v1
9d4b20c0dcfbb420196ec70ad1880237,a,a,9d4b20c0dcfbb420196ec70ad1880237,"c,d","c,d",1908.06177v2-figure5-1.png,1908.06177v2-figure5-1,"figure 5: systematic generalization performance of different models when trained on clauses of length k = 2, 3 (left) and k = 2, 3, 4 (right).",line chart,True,2,closed-ended finite answer set non-binary visual,"in rightmost plot, which model has the highest accuracy at a relation length of 3?",,arxiv,['cs.lg cs.cl cs.lo stat.ml'],scigraphqa,1908.06177,https://arxiv.org/pdf/1908.06177v2
022644beef43ed6fb51e6a9e06a7e51d,a,a,022644beef43ed6fb51e6a9e06a7e51d,b,b,1609.07033v1-figure5-1.png,1609.07033v1-figure5-1,figure 5: comparison of performance obtained by text segmentation algorithms: bayesian segmentation (bayesseg) and lcseg. “default” setting does not require the number of segments to be explicitly stated when computing segment boundaries using lcseg.,line chart,False,1,closed-ended finite answer set non-binary visual,which line represents the algorithm that had a higher 'average f-measure' when the 'number of segments' was 12?,,arxiv,['cs.cl'],scigraphqa,1609.07033,https://arxiv.org/pdf/1609.07033v1
56a826be331cf533ba68f8cf35e72fac,b,b,56a826be331cf533ba68f8cf35e72fac,d,d,1912.07421v1-figure2-1.png,1912.07421v1-figure2-1,fig. 2. accuracies and losses of cnn submodels,line chart,True,4,closed-ended finite answer set non-binary visual,"in rightmost bottom plot, which line represents the  model has the highest validation loss at the 8th epoch?",,arxiv,['cs.cl cs.ai cs.cy'],scigraphqa,1912.07421,https://arxiv.org/pdf/1912.07421v1
6ca4e08a2cd9eaac9ee065aff65fb2dc,b,b,6ca4e08a2cd9eaac9ee065aff65fb2dc,c,c,2005.08053v1-figure4-1.png,2005.08053v1-figure4-1,"figure 4: clean spectrograms (a), partially noise-corrupted spectrum(b), and the predicted frame-level scores obtained using lc att (c), l att (d), and baseline1 (e).",line chart,True,5,closed-ended finite answer set non-binary visual,which of the top two spectrograms presenting normalized frequency has a red line?,,arxiv,['eess.as cs.cl cs.sd'],scigraphqa,2005.08053,https://arxiv.org/pdf/2005.08053v1
0b09cce340dffd35aa32be4651930e74,a,a,0b09cce340dffd35aa32be4651930e74,"a,b,c,d","a,b,c,d",2002.11848v1-figure7-1.png,2002.11848v1-figure7-1,figure 7: diverse beam search. curve colors correspond to results with decoding an xe-trained model with different temperatures; each curve tracks varying λ in dbs.,line chart,True,2,closed-ended finite answer set non-binary visual,which line in the top graph has the lowest value at self-cider 0.65?,,arxiv,['cs.cl cs.cv'],scigraphqa,2002.11848,https://arxiv.org/pdf/2002.11848v1
f4428d269d4f825c621e6b2b87f79fbf,b,b,f4428d269d4f825c621e6b2b87f79fbf,a,a,1703.01619v1-figure9-1.png,1703.01619v1-figure9-1,figure 9: types of non-linearities.,line chart,True,3,closed-ended finite answer set non-binary visual,"in the leftmost plot, what is the y-axis value of the blue line at its highest point?",,arxiv,['cs.cl cs.lg stat.ml'],scigraphqa,1703.01619,https://arxiv.org/pdf/1703.01619v1
dd62760a8218bfcd88a6f570cf5e05a9,d,d,dd62760a8218bfcd88a6f570cf5e05a9,"a,b,c,d","a,b,c,d",1808.10128v1-figure2-1.png,1808.10128v1-figure2-1,fig. 2. mcd results by increasing the amount of paired data.,line chart,False,1,closed-ended finite answer set non-binary visual,which of the lines in the graph are below 10 at the point marked 25 on the x-axis?,,arxiv,['cs.cl cs.lg cs.sd eess.as'],scigraphqa,1808.10128,https://arxiv.org/pdf/1808.10128v1
acf39d9a1a6f3de6a8a7173031803bfe,a,a,acf39d9a1a6f3de6a8a7173031803bfe,"a,b,c","a,b,c",1909.05023v2-figure5-1.png,1909.05023v2-figure5-1,"figure 5: ratios of rt/rt1 for various power law exponents k. left: {0.2, 0.4, 0.6, 0.8} from top to bottom, middle: {1.2, 1.4, 1.6, 1.8} from top to bottom, right: {2.5, 3.0, 3.5, 4.0} from bottom to top. in all cases the runtime ratos approach 1 exponentially fast with growing n.",line chart,True,3,closed-ended finite answer set non-binary visual,which graph shows lines that are all increasing towards the value 1 from the bottom up?,,arxiv,['quant-ph cs.cl cs.ds cs.lg'],scigraphqa,1909.05023,https://arxiv.org/pdf/1909.05023v2
2464d8c5417a8c83daebe290428539e0,c,c,2464d8c5417a8c83daebe290428539e0,b,b,2005.12246v1-figure1-1.png,2005.12246v1-figure1-1,"figure 1: accuracy of the entire development set of fdcl18 (top), and fpr rate for abusive (middle) and hate (bottom) speech detection for tweets inferred as aae in the development set. x axis denotes the number of epochs. 0th epoch is the best checkpoint for pretraining step, which is also the baseline model.",line chart,True,3,closed-ended finite answer set non-binary visual,which of the following plots is the only one that has a peak value at between 8th and 10th epochs?,,arxiv,['cs.cl'],scigraphqa,2005.12246,https://arxiv.org/pdf/2005.12246v1
920f021a2391664a76ea3658e8df1d29,d,d,920f021a2391664a76ea3658e8df1d29,c,c,1808.09367v1-figure7-1.png,1808.09367v1-figure7-1,"figure 7: learning curve of an attention-based classifier on three tasks: hotel location (left), hotel cleanliness (center), hotel service (right). the performance of our approach trained on 200 examples with human rationales is shown as a reference.",scatter plot,True,3,closed-ended finite answer set non-binary visual,what is the accuracy value of the red horizontal dashed line in the middle plot?,,arxiv,['cs.cl'],scigraphqa,1808.09367,https://arxiv.org/pdf/1808.09367v1
dca8b716ac8d18990a0c19da17ea75b6,c,c,dca8b716ac8d18990a0c19da17ea75b6,d,d,2005.10213v1-figure1-1.png,2005.10213v1-figure1-1,figure 1: development set accuracy for 5 languages on morphological inflection with different batch sizes. we evince our two primary contributions: (1) we set the new state of the art morphological inflection using the transformer and (2) we demonstrate the transformer’s dependence on the batch size.,line chart,False,1,closed-ended finite answer set non-binary visual,which of the lines in the graph shows the lowest accuracy for a batch size of 256?,,arxiv,['cs.cl'],scigraphqa,2005.10213,https://arxiv.org/pdf/2005.10213v1
ced0582bea3d403d5e657f56d3e8f184,a,a,ced0582bea3d403d5e657f56d3e8f184,d,d,1904.13258v1-figure1-1.png,1904.13258v1-figure1-1,fig. 1. the nist stt benchmark test history - may’09 [7],line chart,False,1,closed-ended finite answer set non-binary visual,which of the following lines shows the lowest value at the year 1994?,,arxiv,['cs.cl cs.sd eess.as'],scigraphqa,1904.13258,https://arxiv.org/pdf/1904.13258v1
51eaef57db39f99c440819aea07c54b8,"a,a","a,a",51eaef57db39f99c440819aea07c54b8,a,a,1811.02549v6-figure6-1.png,1811.02549v6-figure6-1,"figure 6: analysis of decoding methods. (lower is better for all metrics). left: less biased methods provided a better quality/diversity trade-off. right: however, they are computationally much more expensive.",line chart,True,2,closed-ended finite answer set non-binary visual,which line represents 'temperature'?,,arxiv,['cs.cl cs.lg'],scigraphqa,1811.02549,https://arxiv.org/pdf/1811.02549v6
9c9d8ff8412016c57e4045a4a6fbf864,d,d,9c9d8ff8412016c57e4045a4a6fbf864,a,a,1702.06216v2-figure1-1.png,1702.06216v2-figure1-1,"fig. 1. training curves, stopping points, and mean stopping point for the random models",line chart,False,1,closed-ended finite answer set non-binary visual,how many red dots are in the figure?,,arxiv,['cs.cl cs.ir cs.lg stat.ml'],scigraphqa,1702.06216,https://arxiv.org/pdf/1702.06216v2
896f0e7a480eb3f49cf9d524f1b67b4a,c,c,896f0e7a480eb3f49cf9d524f1b67b4a,a,a,1805.00462v1-figure3-1.png,1805.00462v1-figure3-1,figure 3: evolution of reward during training for the word-level task without image variations.,line chart,False,1,closed-ended finite answer set non-binary visual,which line has the lowest value at the start of training?,,arxiv,['cs.cl cs.ai'],scigraphqa,1805.00462,https://arxiv.org/pdf/1805.00462v1
eb593ca953b285025032114f4ba6631f,"c,d","c,d",eb593ca953b285025032114f4ba6631f,d,d,1704.07050v2-figure3-1.png,1704.07050v2-figure3-1,figure 3: precision-recall curves for spanish-english. baseline denotes state of the art performance.,line chart,False,1,closed-ended finite answer set non-binary visual,which lines in the graph show the baseline and the 'rr_fr_2step' models?,,arxiv,['cs.cl cs.lg stat.ml'],scigraphqa,1704.07050,https://arxiv.org/pdf/1704.07050v2
0e7ad448ec5506e098d6bc9468c3ce93,d,d,0e7ad448ec5506e098d6bc9468c3ce93,"c,d","c,d",d13-1004.pdf-figure1.png,d13-1004.pdf-figure1,"figure 1: plate diagram depicting the morphology model (adapted from goldwater et al. (2006)). hyperparameters have been omitted for clarity. the left-hand plate depicts the base distribution p0; note that the morphological analyses lk are generated deterministically as (tk,sk, fk). the observed words wi are also deterministic given zi = k and lk, since wi = sk fk.",graph,False,1,closed-ended finite answer set non-binary visual,which of the following circles in the left-hand plate of the diagram are connected to the circle labeled 'lk'?,,acl,nan,aclfig,d13-1004,https://aclanthology.org/d13-1004.pdf
b992abe698a2f4c815b283b9cd7d0958,"a,d","a,d",b992abe698a2f4c815b283b9cd7d0958,c,c,c08-1126.pdf-figure3.png,c08-1126.pdf-figure3,figure 3: a path through the wordnet.,graph,False,1,closed-ended finite answer set non-binary visual,which of the following nodes are connected to 'top' by a thicker line?,,acl,nan,aclfig,c08-1126,https://aclanthology.org/c08-1126.pdf
38dcd320ebe4238d3a935e58de5177f4,a,a,38dcd320ebe4238d3a935e58de5177f4,d,d,d18-1152.pdf-figure3.png,d18-1152.pdf-figure3,figure 3: wfsa d1 discussed in 4.3. two initial states q1 and q4 are used here.,graph,False,1,closed-ended finite answer set non-binary visual,which states have a single circle with a thin line around them?,,acl,nan,aclfig,d18-1152,https://aclanthology.org/d18-1152.pdf
9a9e2121b59086d3c6e9f054662eb276,a,a,9a9e2121b59086d3c6e9f054662eb276,"a,c","a,c",1606.03676v2-figure1-1.png,1606.03676v2-figure1-1,figure 1: graphical visualisation of the overall tagging accuracies for all four types of enriched models. detailed results are given in table 4. languages are sorted by increasing melt’s overall tagging scores.,scatter plot,False,1,closed-ended finite answer set non-binary visual,what is the highest accuracy score for the diamond?,,arxiv,['cs.cl'],scigraphqa,1606.03676,https://arxiv.org/pdf/1606.03676v2
95ae5db6f27bda1404e5dc7b14d51d6e,b,b,95ae5db6f27bda1404e5dc7b14d51d6e,"c,d","c,d",2020.acl-main.447.pdf-figure3.png,2020.acl-main.447.pdf-figure3,"figure 3: word2vec embeddings associated with 20k papers in six ai-related arxiv categories visualized using t-sne (van der maaten and hinton, 2008). example papers from two randomly selected sub-regions a and b are given in table 7.",scatter plot,False,1,closed-ended finite answer set non-binary visual,which of the following are closer to region b than region a in the figure? ,,acl,nan,aclfig,2020.acl-main.447,https://aclanthology.org/2020.acl-main.447.pdf
e01308de8cd1dc8ea6e781e688b257dc,a,a,e01308de8cd1dc8ea6e781e688b257dc,"a,d","a,d",2020.acl-main.47.pdf-figure4.png,2020.acl-main.47.pdf-figure4,figure 4: correlation between the acc-dat rate and the rate that the acc argument is more likely to be topicalized than dat for each verb. each plot corresponds to the result of each verb.,scatter plot,False,1,closed-ended finite answer set non-binary visual,which are the colors and the shapes of 'clm' and 'slm' in the figure?,,acl,nan,aclfig,2020.acl-main.47,https://aclanthology.org/2020.acl-main.47.pdf
fb2c698e3d1d81790a17acc892b1828c,a,a,fb2c698e3d1d81790a17acc892b1828c,"a,c","a,c",1903.10963v1-figure11-1.png,1903.10963v1-figure11-1,"figure 11: estimated best 2-hop circuit if the error rates on the two edges are balanced, circuit c will be the best choice. more often on tokyo, b or d is best.",other,False,1,closed-ended finite answer set non-binary visual,what are the range of the 1-b_01 values of the green circuit?,,arxiv,['quant-ph cs.cl'],scigraphqa,1903.10963,https://arxiv.org/pdf/1903.10963v1
1fd24f8ffa755d5b97600458f6acc306,"a,b","a,b",1fd24f8ffa755d5b97600458f6acc306,b,b,2020.acl-main.97.pdf-figure2.png,2020.acl-main.97.pdf-figure2,"figure 2: overview of dte. dte consists of two parts: tree comment network (the left) and decision tree model (the right), which is used to evaluate the credibility of each node in the tree comment network for discovering evidence.",tree,True,2,closed-ended finite answer set non-binary visual,which of the following labels are connected by an arrow?,,acl,nan,aclfig,2020.acl-main.97,https://aclanthology.org/2020.acl-main.97.pdf
262dc9dd3cd28c54e8f44571a16ae13d,d,d,262dc9dd3cd28c54e8f44571a16ae13d,"a,b,c,d","a,b,c,d",y09-1038.pdf-figure2.png,y09-1038.pdf-figure2,"figure 2: a syntactic parse tree with aapdist and argdist example. there is a simultaenous temporal relation between (move, resign) event pair in this parse tree.",tree,False,1,closed-ended finite answer set non-binary visual,what are the labels of the elements circled with a black line in the left side of the tree?,,acl,nan,aclfig,y09-1038,https://aclanthology.org/y09-1038.pdf
8d2bee0894402b3bf9322dc80e6d8e47,"a,b","a,b",8d2bee0894402b3bf9322dc80e6d8e47,b,b,c00-2092.pdf-figure4.png,c00-2092.pdf-figure4,figure 4: example of a linked tree pair in verbmobil,tree,False,1,closed-ended finite answer set non-binary visual,"in figure 4, considering the linked tree pairs, which of the following statements about the node labels are true? ",,acl,nan,aclfig,c00-2092,https://aclanthology.org/c00-2092.pdf
